City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,Jamundi,3.2607,-76.535,82.29,63,34,3.71,CO,2022-06-21 17:11:46
220,Springbok,-29.6643,17.8865,50.16,72,96,2.66,ZA,2022-06-21 17:11:46
221,Rovaniemi,66.5,25.7167,63.81,48,0,10.36,FI,2022-06-21 17:09:05
222,Avera,33.194,-82.5271,92.55,24,95,8.63,US,2022-06-21 17:11:46
223,Hualmay,-11.0964,-77.6139,66.6,69,51,9.66,PE,2022-06-21 17:11:47
224,Iqaluit,63.7506,-68.5145,45.73,50,4,4.79,CA,2022-06-21 17:11:47
225,Qasigiannguit,68.8193,-51.1922,35.85,98,100,9.35,GL,2022-06-21 17:11:47
226,Luanda,-8.8368,13.2343,70.11,77,0,17.38,AO,2022-06-21 17:10:28
227,Inhambane,-23.865,35.3833,68.76,78,56,7.76,MZ,2022-06-21 17:12:48
228,Grass Valley,39.2191,-121.0611,89.96,23,0,5.01,US,2022-06-21 17:12:48
229,Marabba,12.35,32.1833,89.82,32,84,12.95,SD,2022-06-21 17:12:49
230,East Hampton,37.0374,-76.3316,85.01,41,75,6.91,US,2022-06-21 17:12:49
231,Firminy,45.3873,4.2907,86.5,33,93,21.85,FR,2022-06-21 17:11:12
232,Rizhao,35.4275,119.4553,70.61,92,6,5.21,CN,2022-06-21 17:12:49
233,Sorland,67.667,12.6934,46.26,74,100,15.39,NO,2022-06-21 17:12:50
234,Pilar,-9.5972,-35.9567,78.73,85,92,10.71,BR,2022-06-21 17:12:50
235,Saint George,37.1041,-113.5841,87.64,12,0,4.61,US,2022-06-21 17:10:00
236,Cedro,-6.6067,-39.0622,88.92,36,100,7.25,BR,2022-06-21 17:12:51
237,Hami,42.8,93.45,84.78,15,1,11.81,CN,2022-06-21 17:12:51
238,Mount Isa,-20.7333,139.5,64.17,52,71,13.8,AU,2022-06-21 17:12:51
239,Uhlove,44.8215,33.6045,75.02,71,46,6.98,UA,2022-06-21 17:12:52
240,Bani,18.2833,-70.3333,89.04,52,91,13.73,DO,2022-06-21 17:12:52
241,Juegang,32.3174,121.1855,76.91,95,55,8.39,CN,2022-06-21 17:12:52
242,Oak Ridge,36.0104,-84.2696,89.44,43,0,1.01,US,2022-06-21 17:08:16
243,Ozinki,51.1786,49.6769,76.66,63,19,5.68,RU,2022-06-21 17:12:53
244,Baruun-Urt,46.6806,113.2792,66.09,47,65,13.13,MN,2022-06-21 17:12:53
245,Karratha,-20.7377,116.8463,73.2,34,0,7.49,AU,2022-06-21 17:12:54
246,Ayan,56.45,138.1667,48.43,88,1,7.85,RU,2022-06-21 17:12:54
247,Santa Teresa,10.2341,-66.6631,83.91,60,94,3.06,VE,2022-06-21 17:12:54
